Name,Global ID
"Starbucks Refreshers™ Blueberry Acai", SB0539
"Starbucks Refreshers™ Raspberry Pomegranate", SB0538
"Starbucks Reserve® Cold Brew", SB0379
"Starbucks Reserve® Dark Chocolate Mocha", SB0384
"Starbucks Reserve® Hazelnut Bianco Latte", SB0396
"Starbucks Reserve® Iced Dark Chocolate Mocha", SB0385
"Starbucks Reserve® Iced Hazelnut Bianco Latte", SB0397
"Starbucks Reserve® Iced Latte", SB0380
"Starbucks Reserve® Latte", SB0381
"Starbucks Reserve® Nitro Cold Brew", SB0383
"Starbucks® BBQ Potato Chips", SB0009
"Starbucks® Blonde Caffè Americano", SB0235
"Starbucks® Blonde Caffè Latte", SB0236
"Starbucks® Blonde Cappuccino", SB0237
"Starbucks® Blonde Caramel Cloud Macchiato* (Contains eggs)", SB0413
"Starbucks® Blonde Cocoa Cloud Macchiato* (Contains eggs)", SB0417
"Starbucks® Blonde Doubleshot® On Ice", SB0238
"Starbucks® Blonde Flat White", SB0239
"Starbucks® Blonde Vanilla Latte", SB0240
"Starbucks® Cold Brew Coffee", SB0066
"Starbucks® Cold Brew Coffee with Milk", SB0374
"Starbucks® Dark Chocolate Salted Peppermint Bark 3.5 oz (11/6 -1/4)", SB0077
"Starbucks® Dark Chocolate Sea Salt Caramels 4 oz (11/6 -1/4)", SB0560
"Starbucks® Milk Chocolate Cranberries", SB0168
"Steamed Apple Juice", SB0241
"Steamed Milk", SB0243
"Steamers", sbuxtemplate0015
"Stevia", SBMOD0029
"Strawberries", SBMOD0070sbuxmods_inventory0032
"Strawberry Açaí Lemonade Starbucks Refreshers® Iced Beverage", SB0245
"Strawberry Açaí Starbucks Refreshers® Iced Beverage", SB0246
"Strawberry Frappuccino® Blended Beverage", SB0248
"Strawberry Funnel Cake Crème Frappuccino® Blended Beverage", SB0472
"Strawberry Funnel Cake Frappuccino® Blended Beverage", SB0430
"Strawberry Overnight Grains", SB0249
"Strawberry Puree", sbuxmods_inventory0033
"Strawberry Purée", SBMOD0071
"String Cheese", SB0234
"Sugar", SBMOD0026sbuxmods_inventory0027
"Sugar Cookie Almondmilk  Frappuccino®  Blended Beverage", SB0526
"Sugar Cookie Almondmilk Crème Frappuccino® Blended Beverage", SB0525
"Sugar Cookie Almondmilk Latte", SB0522
"Sugar Free Cinnamon Dolce Syrup", SBMOD0018sbuxmods_inventory0066
"Sugar Free Vanilla Syrup", SBMOD0019sbuxmods_inventory0067
"Sugar Plum Cheese Danish (11/6 - 11/4)", SB0252
"Sugar in the Raw", SBMOD0030sbuxmods_inventory0024
"Sumatra Clover®", SB0328
"Sumatra Lake Toba Clover®", SB0392
"Sun-Dried Papua New Guinea Ulya Chemex Starbucks Reserve®", SB0499
000 smallholder farmers have committed themselves to the delicate method of sun-drying coffee—a rarity in Papua New Guinea. For the second year, In the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New Guinea
"Sun-Dried Papua New Guinea Ulya Clover X Starbucks Reserve®", SB0500
"Sun-Dried Papua New Guinea Ulya Coffee Press Starbucks Reserve®", SB0501
"Sun-Dried Papua New Guinea Ulya Iced Pour Over Starbucks Reserve®", SB0502
000 smallholder farmers have committed themselves to the delicate method of sun-drying coffee—a rarity here. For the second year, In the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New GuineaIn the Western Highlands of Papua New Guinea
"Sun-Dried Papua New Guinea Ulya Pour Over Starbucks Reserve®", SB0503
"Sun-Dried Papua New Guinea Ulya Siphon Starbucks Reserve®", SB0504
"Sundried Brazil Sertao Clover®", SB0398
"Sweet Cream", sbuxmods_inventory0018
"Sweet Cream Cold Foam", SBMOD0049
"Sweet Potato Kettle Potato Chips", SB0253
"Sweetened Condensed Milk 14 oz. (GSF-Hawaii Only)", SB0558
"S’mores Frappuccino® Blended Crème", SB0204
"Tall", sbuxmods_inventory0002
"Target Bullseye Cookie", SB0490
"Tea Bag", sbuxmods_inventory0075
"Teavana(TM/MC) Sparkling Blood Orange Mango White Tea", SB0256SB0258
"Teavana® Mango Black Tea", SB0542
"Teavana® Sparkling Unsweetened Peach Nectarine Green Tea", SB0554
"That's It® – Apple + Blueberry Bar", SB0262
"That's It® – Apple + Mango Bar", SB0261
"The Classic – Bantam Bagels (2-pack)", SB0451
"This Bar Saves Lives™ Madagascar Vanilla Almond & Honey Bar", SB0255
"This Bar Saves Lives™ – Dark Chocolate Cherry & Sea Salt Bar", SB0459
"This Bar Saves Lives™ – Dark Chocolate Peanut Butter & Sea Salt Bar", SB0254
"This Bar Saves Lives™ – Wild Blueberry Pistachio Bar", SB0460
"Tillamook Medium Cheddar", SB0482
"Tillamook Sharp White Cheddar", SB0483
"Toasted", SBMOD0082
"Toasted Almond & Banana Nut Square", SB0215
"Toasted Honey Topping", sbuxmods_inventory0048
"Toasted White Chocolate Crème Frappuccino® Blended Beverage", SB0520
"Toasted White Chocolate Mocha", SB0265
"Toasted White Chocolate Mocha Frappuccino® Blended Beverage", SB0266
"Toasted White Hot Chocolate", SB0518
"Toffee Nut Syrup", SBMOD0020sbuxmods_inventory0068
"Tomato & Mozzarella", SB0442
"Tree Top Apple Juice Box", SB0269
"Trenta", sbuxmods_inventory0005
"Triple", sbuxmods_inventory0036
"Turkey & Basil Pesto", SB0270
"Turkey Pesto Panini", SB0448
"Unicorn Cake Pop", SB0288
"Vanilla Bean Crème Frappuccino® Blended Beverage", SB0272
"Vanilla Bean Powder", sbuxmods_inventory0019
"Vanilla Bean Whoopie Pie", SB0475
"Vanilla Biscotti with Almonds", SB0273
"Vanilla Crème", SB0274
"Vanilla Latte", SB0319
"Vanilla Powder", SBMOD0077
"Vanilla Sweet Cream Cold Brew", SB0276
"Vanilla Sweet Cream Cold Foam", sbuxmods_inventory0050
"Vanilla Syrup", SBMOD0010sbuxmods_inventory0069
"Veggie & Brown Rice Salad Bowl", SB0446
"Venti", sbuxmods_inventory0004
"Veranda Blend® Clover®", SB0356
"Very Berry Hibiscus Lemonade Starbucks Refreshers® Iced Beverage", SB0277
"Very Berry Hibiscus Starbucks Refreshers™", SB0278
"Violet Drink", SB0279
"Warmed", SBMOD0081
"Whipped Cream", SBMOD0042sbuxmods_inventory0042
"White Chocolate Crème Frappuccino® Blended Beverage", SB0280
"White Chocolate Mocha", SB0281
"White Chocolate Mocha Frappuccino® Blended Beverage", SB0282
"White Chocolate Mocha Sauce", SBMOD0023sbuxmods_inventory0058
"White Hot Chocolate", SB0283
"White Tea (splash)", SBMOD0067
"Whole", SBMOD0002
"Whole Milk", sbuxmods_inventory0010
"Zesty Chicken & Black Bean Salad", SB0445
"none", sbuxmods_inventory0008
