Name,Barcode
 Pumpkin Spice Latte, 000183885&000183886&000183887&000183888&011026666&011026672&011026673&011026674&011045163&011098639&011098640&011098641&011098642
 Iced Pumpkin Spice Latte, 000183889&000183890&000183891&011026679&011026680&011026681&011045164
 Pumpkin Spice Crème, 000183892&000183893&000183894&000183895&000551427
Add Pumpkin Sauce, 000183904
Light Classic Syrup, 000184295
Substitute Classic Syrup, 000184296
Substitute Mocha Sauce, 000184297
 Cinnamon Dolce Latte, 000184540&000184541&000184542&000184543
 Iced Cinnamon Dolce Latte, 000184544&000184545&000184546
 Cinnamon Dolce Crème, 000184549&000184550&000184551
Add Cinnamon Dolce Syrup, 000184556
Add Splenda®, 000186842
Heavy Cream, 000187368
Substitute Vanilla Syrup, 000187669
Substitute Pumpkin Sauce, 000189197&011052599
Extra Pumpkin Sauce, 000189198
Light Pumpkin Sauce, 000189199
Extra Irish Cream Syrup Modifier, 000189641&011115115
Light Irish Cream Syrup Modifier, 000189642&011115114
Add White Chocolate Mocha Sauce, 000189840
Light White Chocolate Mocha Sauce, 000189842
Extra White Chocolate Mocha Sauce, 000189843
Add Matcha Green Tea Powder, 000191339&011089954
Matcha Tea Latte , 000195169&000195170&000195172&000195174
Iced Matcha Tea Latte , 000195171&000195173&000195175
Light Cinnamon Dolce Syrup, 000197829
Extra Cinnamon Dolce Syrup, 000197830
No Cinnamon Dolce Syrup, 000197831
Substitute Cinnamon Dolce Syrup, 000197832
Warmed, 000204198
Regular Coconut Flakes, 000249189
Custom Shaken Iced Tea , 000277659&000277660&000277661&011010097
Iced Tea Lemonade , 000277662&000277663&000277664&011010098
Add Raspberry Syrup, 000277675
Add Sugar Free Cinnamon Dolce Syrup, 000375416
Light Sugar Free Cinnamon Dolce Syrup, 000375417
Extra Sugar Free Cinnamon Dolce Syrup, 000375420
Add Thai Syrup, 000375446
100% Kona Brewed Coffee , 000375450
Eggnog, 000388736
Substitute Sugar Free Cinnamon Dolce Syrup, 000401486
Add Sugar Free Caramel Syrup, 000438552
Light Raspberry Syrup, 000446021
Extra Raspberry Syrup, 000446022
Substitute Raspberry Syrup, 000446023
Substitute Chai, 000446052
Substitute Caramel Sauce, 000446053
Sub Matcha Powder, 000446055
Substitute White Chocolate Mocha Sauce, 000446057
Thai Syrup extra, 000446060
 Gingerbread Crème, 000492588&000492589&000492590&000492591&000546507
 Eggnog Crème, 000492592&000492593&000492594&000492595&000546508
Light Vanilla Powder, 000523881
Extra Vanilla Powder, 000523882
Light Cinnamon Powder, 000523883
Extra Cinnamon Powder, 000523884
Light Nutmeg Powder, 000523885
Extra Nutmeg Powder, 000523886
No Vanilla Syrup, 000523887
No Sugar Free Vanilla Syrup, 000523888
No Hazelnut Syrup, 000523889
No Caramel Syrup, 000523893&011099270
No Peppermint Syrup, 000523902
No Irish Cream Syrup Modifier, 000523903&011115111
Extra Caramel Drizzle, 000523905&011001830
Extra Wet, 000546389
Light Wet Foam, 000546390
No Caramel Drizzle, 000546393&011001836
 Peppermint White Chocolate Mocha, 000546436&000546437&000546439&000546441
 Iced Peppermint White Chocolate Mocha, 000546438&000546440&000546442
 Peppermint White Hot Chocolate, 000546443&000546444&000546445&000546446&000546447
Light Caramel Drizzle, 000546499&011001829
No Chocolate Powder, 000551443
No Nutmeg Powder, 000551444
No Vanilla Powder, 000551445
No Cinnamon Powder, 000551446
 Skinny Cinnamon Dolce Latte, 001076500&001076501&001076503&001076505
 Iced Skinny Cinnamon Dolce Latte, 001076502&001076504&001076506
Add Protein & Fiber Powder, 001084740
Add Banana, 001084741&011101071
Regular Lactose-Free Beverage, 001111164
Skinny Caffè Latte , 001111168&001111169&001111171&001111173
Iced Skinny Caffè Latte , 001111170&001111172&001111174
 Starbucks Doubleshot® on Ice Beverage, 001117373&001117374&001117375
 Iced Cappuccino, 001185243&001185244&001185245
Add Frappuccino® Roast, 001190214&011007228
Iced Coffee Refill , 001206668&001206669&001206670&011002167
Chocolate Curls Topping, 001233198
Caramel Drizzle, 011001828
Mocha Drizzle, 011001832
Extra Mocha Drizzle, 011001834
Light Mocha Drizzle, 011001835
No Mocha Drizzle, 011001837
Whole Milk Creamer, 011002139
Extra Whole Milk Creamer, 011002140
Light Whole Milk Creamer, 011002141
Nonfat Milk Creamer, 011002142
Extra Nonfat Milk Creamer, 011002144
Light Nonfat Milk Creamer, 011002145
Splash of 2% Milk, 011002146
Extra 2% Milk Creamer, 011002147
Light 2% Milk Creamer, 011002148
1% Milk Creamer, 011002149
Extra 1% Milk Creamer, 011002150
Light 1% Milk Creamer, 011002151
Splash of Soymilk, 011002152
Extra Splash of Soymilk, 011002153
Light Splash of Soymilk, 011002154
Heavy Cream Creamer, 011002158
Extra Heavy Cream Creamer, 011002159
Light Heavy Cream Creamer, 011002160
 Iced Coffee with Milk, 011002197&011002199&011002200&011006149
 Caffè Vanilla Frappuccino® Blended Coffee, 011002645&011002647&011002654
 Caramel Frappuccino® Blended Coffee, 011002655&011002656&011002657
 Coffee Frappuccino® Blended Coffee, 011002659&011002660&011002661
 Espresso Frappuccino® Blended Coffee, 011002662&011002663&011002664
 Java Chip Frappuccino® Blended Coffee, 011002665&011002666&011002667
 Mocha Frappuccino® Blended Coffee, 011002668&011002669&011002670
 White Chocolate Mocha Frappuccino® Blended Coffee, 011002671&011002672&011002673
 Chai Crème Frappuccino® Blended Crème, 011002674&011002675&011002676
 Double Chocolaty Chip Crème Frappuccino® Blended Crème, 011002677&011002678&011002679
Matcha Crème Frappuccino® Blended Beverage , 011002680&011002681&011002682&011090004&011090013&011090017
 Flavored Crème Frappuccino® Blended Crème, 011002686&011002687&011002688
 Vanilla Bean Crème Frappuccino® Blended Crème, 011002689&011002690&011002691
 White Chocolate Crème Frappuccino® Blended Crème, 011002692&011002693&011002694
Affogato-Style Shots 2 add, 011003434
 Blended Strawberry Lemonade, 011004025&011004026&011004027
