Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Categories,Price,No discount price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags,Song,Virtual,Skip importer
3.0144E+12,3.0144E+12,GLEN SCANLAN Whisky 0.7l (3 Years),Archived,,,,XX Viski,23.08,,23.08,23.08,20.07,,15,XX Viski,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.01033E+12,5.01033E+12,GLENFIDDICH Single Malt 12YO Whiskey 0.5l,Archived,,,,XX Viski,33.25,,33.25,33.25,28.91,,15,XX Viski,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Aurutatud Kikerherned 300g,Available,,,,Konservid,1.63,,1.63,1.63,1.42,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Aurutatud Punased Kidney Oad 326g,Available,,,,Konservid,1.63,,1.63,1.63,1.42,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS Marineeritud Kurk 3-6cm 680g,Available,,,,Konservid,2.67,,2.67,2.67,2.32,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Miniherned & Porgandid 200g,Available,,,,Konservid,1.04,,1.04,1.04,0.9,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Miniherned 200g,Available,,,,Konservid,1.04,,1.04,1.04,0.9,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS Suhkrumais & Oliivid 300g,Available,,,,Konservid,1.57,,1.57,1.57,1.37,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Suhkrumais 150g,Available,,,,Konservid,1.04,,1.04,1.04,0.9,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Suhkrumais 340g,Available,,,,Konservid,1.29,,1.29,1.29,1.12,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS Tükeldatud & Kivideta Ploomid 700g,Available,,,,Konservid,2.25,,2.25,2.25,1.96,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS VITAL Kinoa 150g,Available,,,,Konservid,1.25,,1.25,1.25,1.09,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS VITAL Sojauba 150g,Available,,,,Konservid,1.25,,1.25,1.25,1.09,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
