T000028774
T000036240
T000041645
T000005993
T000006004
T000006018
T000006022
T000036235
T000047611
T000006048
T000010909
T000010957
T000010978
T000011111
T000011119
T000011174
T000011182
T000011754
T000031028
T000034363
T000039585
T000040090
T000045245
T000045767
T000048342
T000049132
T000049133
T000052354
T000055546
T000006079
T000010166
T000010228
T000010933
T000011794
T000038647
T000052945
T000058468
T000058471
T000036276
T000007153
T000023307
T000023313
T000023506
T000023514
T000033541
T000034408
T000034409
T000034410
T000042526
T000047322
T000051085
T000054664
T000009872
T000010174
T000010175
T000010206
T000011903
T000050367
T000007182
T000007204
T000037684
T000055046
T000057676
T000011116
T000011388
T000048762
T000011011
T000007234
T000009407
T000009408
T000009410
T000009809
T000010954
T000011147
T000011363
T000032216
T000036296
T000038884
T000042678
T000042679
T000047615
T000049557
T000054343
T000025643
T000033202
T000039043
T000043764
T000058499
T000007150
T000007178
T000028474
T000058515
T000058520
T000009843
T000030367
T000054071
T000033096
T000047270
T000009838
T000009839
T000009840
T000009841
T000011823
T000012958
T000012959
T000014849
T000014880
T000014980
T000014981
T000014989
T000026366
T000028314
T000040724
T000048055
T000050009
T000054085
T000054088
T000014858
T000014862
T000014896
T000014984
T000014853
T000014855
T000005705
T000011809
T000011810
T000012307
T000012312
T000028018
T000029856
T000030086
T000030087
T000030088
T000038760
T000041831
T000009467
T000020394
T000020395
T000027313
T000030090
T000009915
T000033920
T000004916
T000008898
T000029821
T000017192
T000017194
T000017195
T000017197
T000017205
T000029974
T000031660
T000031661
T000043077
T000055565
T000058234
T000058235
T000058236
T000059161
T000043916
T000048799
T000048800
T000050540
T000059173
T000059174
T000059175
T000059176
T000006965
T000006967
T000008903
T000009021
T000010142
T000042955
T000007045
T000007728
T000008736
T000008755
T000008971
T000008975
T000008976
T000012874
T000014579
T000014584
T000018119
T000029744
T000033804
T000034466
T000035908
T000035909
T000037956
T000039051
T000039095
T000042808
T000042947
T000042948
T000044693
T000046874
T000046875
T000048803
T000052591
T000052846
T000053060
T000054133
T000055119
T000056819
T000056821
T000056823
T000006946
T000006947
T000008838
T000029754
T000043855
T000049724
T000049725
T000050059
T000058162
T000059162
T000059163
T000059164
T000007038
T000008695
T000012870
T000014162
T000047860
T000050395
T000054216
T000009011
T000059619
T000008874
T000009087
T000009119
T000009824
T000010848
T000010858
T000010859
T000011073
T000011074
T000015037
T000029152
T000030381
T000030422
T000032450
T000033012
T000035423
T000037059
T000037064
T000039245
T000039247
T000039691
T000041715
T000056512
T000059635
T000059636
T000059637
T000003865
T000010711
T000010714
T000010715
T000020361
T000043395
T000050399
T000056826
T000003943
T000004300
T000010874
T000017774
T000017781
T000028875
T000030016
T000030396
T000033551
T000037085
T000046010
T000049705
T000053266
T000054505
T000058158
T000059172
T000006945
T000009117
T000009118
T000054749
T000055118
T000019415
T000026251
T000033811
T000050763
T000007722
T000069073
T000067594
T000012349
T000007759
T000007783
T000008181
T000008634
T000034844
T000043325
T000049676
T000053532
T000055079
T000059133
T000068859
T000007769
T000007797
T000007801
T000032474
T000034426
T000041392
T000045711
T000046062
T000049672
T000052667
T000058123
T000000032
T000011730
T000032551
T000038318
T000006416
T000006417
T000009036
T000014017
T000031925
T000037376
T000038191
T000014023
T000014024
T000014025
T000014026
T000014027
T000021984
T000022203
T000022205
T000022300
T000022306
T000022308
T000022881
T000022882
T000027336
T000027338
T000027534
T000033504
T000034865
T000040517
T000008856
T000010112
T000010116
T000010117
T000012945
T000012946
T000012947
T000040661
T000041870
T000045890
T000049194
T000010110
T000010118
T000012936
T000014009
T000017047
T000017056
T000019677
T000029547
T000034894
T000014757
T000015283
T000015597
T000017836
T000017843
T000017845
T000017846
T000037846
T000043408
T000046300
T000050583
T000052029
T000057823
T000059986
T000018105
T000018106
T000018107
T000018108
T000018109
T000023828
T000023829
T000008855
T000008857
T000008858
T000010085
T000010106
T000010107
T000010113
T000019426
T000019826
T000019827
T000041015
T000041905
T000043695
T000044995
T000045888
T000045889
T000047930
T000047934
T000058212
T000004784
T000004785
T000004788
T000023773
T000023775
T000036374
T000041816
T000041817
T000052091
T000057827
T000057828
T000023099
T000023106
T000037545
T000043940
T000003383
T000006738
T000006746
T000006748
T000009250
T000012222
T000014042
T000029054
T000043379
T000054033
T000057696
T000059310
T000006846
T000006847
T000006848
T000006850
T000024298
T000052331
T000004093
T000004095
T000006753
T000006757
T000006759
T000019866
T000022888
T000022890
T000022891
T000032175
T000032726
T000033845
T000028913
T000044536
T000049163
T000054381
T000016882
T000016898
