                                                                                     Name                                                                                                                                                                                                                                                                                  Barcode
63                                                                       Iced Caffè Mocha                                                                                                                                                                                                                              000110566&000110567&000144649&000110566&000110567&000144649
64                                                                       Iced Caffè Latte                                                                                                                                                                                                                              000110569&000110570&000144648&000110569&000110570&000144648
65                                                                                1% Milk                                                                                                                                                                                                                                                                      000110612&000110612
66                                                French Press Brewed Custom Coffee 8 Cup                                                                                                                                                                                                                                                                      000111774&000111774
67                                               French Press Brewed Custom Coffee 12 Cup                                                                                                                                                                                                                                                                      000111775&000111775
68                                                                  Creamer (Half & Half)                                                                                                                                                                                                                              000111806&000182529&000182530&000111806&000182529&000182530
69                                                                Regular Cinnamon Powder                                                                                                                                                                                                                                                                      000112073&000112073
70                                                                         Vanilla Powder                                                                                                                                                                                      000112074&000523881&000523882&000551445&011052594&000112074&000523881&000523882&000551445&011052594
71                                                                       Chocolate Powder                                                                                                                                                                                      000112075&000551443&011052404&011052405&011052406&000112075&000551443&011052404&011052405&011052406
72                                                                          Nutmeg Powder                                                                                                                                                                                      000112076&000523885&000523886&000551444&011052403&000112076&000523885&000523886&000551444&011052403
73                                                                                Soymilk                                                                                                                                                                                                                                                                      000113135&000113135
74                                                                      Irish Cream Syrup                                                              000114098&000180597&000189640&000189641&000189642&000523903&011115111&011115112&011115113&011115114&011115115&000114098&000180597&000189640&000189641&000189642&000523903&011115111&011115112&011115113&011115114&011115115
75                                                                    Steamed Apple Juice                                                                                                                                                                                      000115157&000115158&000115159&000122295&000485074&000115157&000115158&000115159&000122295&000485074
76                                                                                  Honey                                                                                                                                                                                                                                                                      000115320&000115320
77                                                                          Caramel Sauce                                                                                                                                                                                      000126195&000179952&000179953&000446053&011052323&000126195&000179952&000179953&000446053&011052323
78                                                                      Caramel Macchiato                                                                                                                                                                                                          000126196&000126197&000126198&000126199&000126196&000126197&000126198&000126199
79                                                                         Chai Tea Latte                                                                                                                                                                                                          000135607&000135608&000135609&000135610&000135607&000135608&000135609&000135610
80                                                      Iced Tazo® Classic Chai Tea Latte                                                                                                                                                                                                                              000135612&000135613&000144647&000135612&000135613&000144647
81                                                               Sugar Free Vanilla Syrup                                                                                                                                                                                      000135800&000145690&000145692&000180601&000523888&000135800&000145690&000145692&000180601&000523888
82                                                                    Featured Dark Roast                                                                                                                                                                                                          000138663&000138664&000138665&000138666&000138663&000138664&000138665&000138666
83                                                                                Tea Bag                                                                                                                                                                                                                                                                      000142689&000142689
84                                                                Decaf Pike Place® Roast                                                                                                                                                                                                          000143104&000143105&000143106&000143107&000143104&000143105&000143106&000143107
85                                                 Coffee Traveler - Custom Brewed Coffee                                                                                                                                                                                                                                                                      000148081&000148081
86                                                                  White Chocolate Mocha                                                                                                                                                                                                          000148688&000148689&000148690&000148691&000148688&000148689&000148690&000148691
87                                                             Iced White Chocolate Mocha                                                                                                                                                                                                                              000153120&000153121&000153122&000153120&000153121&000153122
88                                                                          Caramel Syrup                                                                                                                                                                  000154162&000159775&000159778&000180594&000523893&011099270&000154162&000159775&000159778&000180594&000523893&011099270
89                                                                    White Hot Chocolate                                                                                                                                                                                      000155307&000155308&000155309&000155310&000155311&000155307&000155308&000155309&000155310&000155311
90                                                                 Iced Caramel Macchiato                                                                                                                                                                                                          000155347&000155349&000155364&011009705&000155347&000155349&000155364&011009705
91                                                                    Caramel Apple Spice                                                                                                                                                                                      000155357&000155358&000155359&000155360&000155434&000155357&000155358&000155359&000155360&000155434
92                                                                     Frappuccino® Chips                                                                                                                                                                                                          000160150&011052327&011052606&011052607&000160150&011052327&011052606&011052607
93                                                                      Gingerbread Latte                                                                                                                                                                                                          000163027&000163028&000163029&000163030&000163027&000163028&000163029&000163030
94                                                                      Gingerbread Syrup                                                                                                                                                                                      000165863&000165864&000165865&000181592&011052324&000165863&000165864&000165865&000181592&011052324
95                                                                      Iced Eggnog Latte                                                                                                                                                                                                                              000176828&000181428&000181429&000176828&000181428&000181429
96                                                                 Iced Gingerbread Latte                                                                                                                                                                                                                              000176830&000181430&000181431&000176830&000181430&000181431
97                                              Mocha Coconut Frappuccino® Blended Coffee                                                                                                                                                                                                                                                  000177531&000177532&000177531&000177532
98                                                                          Classic Syrup                                                                                                                                                                                      000177838&000180950&000182878&000184295&000184296&000177838&000180950&000182878&000184295&000184296
99                                                                         Heavy Lemonade                                                                                                                                                                                                                                                                      000177846&000177846
100                                                                                 Water                                                                                                                                                                                                          000178658&000178667&000178668&000178669&000178658&000178667&000178668&000178669
101                                                                         Vanilla Crème                                                                                                                                                                                      000179555&000179556&000179557&000179558&000485072&000179555&000179556&000179557&000179558&000485072
102                                                                      Peppermint Mocha                                                                                                      000179559&000179560&000179561&000179562&000357118&011046730&011046731&011046732&011046733&000179559&000179560&000179561&000179562&000357118&011046730&011046731&011046732&011046733
103                                                                 Iced Peppermint Mocha                                                                                                                                                                                                                              000179563&000181433&000181435&000179563&000181433&000181435
104                                                              Peppermint Hot Chocolate                                                                                                                                                                                      000179565&000179566&000179567&000179568&000179569&000179565&000179566&000179567&000179568&000179569
105                                                                                  Chai                                                                                                                                                                                                          000179992&000179993&000179994&000446052&000179992&000179993&000179994&000446052
106                                                                        Flavored Crème                                                                                                                                                                                      000180357&000180358&000180359&000180360&000485073&000180357&000180358&000180359&000180360&000485073
107                                                                      Peppermint Syrup                                                                                                                                                                                      000181585&000181586&000181587&000181593&000523902&000181585&000181586&000181587&000181593&000523902
108                                                                      Toffee Nut Syrup                                                                                                                                                                                      000181589&000181590&000181591&000181594&011052309&000181589&000181590&000181591&000181594&011052309
109                                                                   Vanilla Bean Powder                                                                                                                                                                                      000182363&011052328&011052393&011052394&011052395&000182363&011052328&011052393&011052394&011052395
110                                                                     Value Custom Temp                                                                                                                                                                                                                                                                      000183172&000183172
