Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Category,Price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags
nan,nan,Chicken Noodle Soup,,,,, Soups & Salads,4.71,4.71,4.71,4.71,,, Soups & Salads,-1,,General,,,[],nan,,,,,,"[{""_id"": ""58f8e7bdfbf95b7b7d0ff000"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""58f8e7bdfbf95b7b7d0ff001"", ""title"": ""Small"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""58f8e7bdfbf95b7b7d0ff002"", ""title"": ""Large"", ""price"": 210, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""58f8e7bdfbf95b7b7d0ff001""}, ""preselect_default_value"": false}]",no,
nan,nan,Cobb Salad,,,,, Soups & Salads,7.24,7.24,7.24,7.24,,, Soups & Salads,-1,,General,,,[],"Romaine lettuce, chicken.",,,,,,[],no,
nan,nan,Chef Salad,,,,, Soups & Salads,7.68,7.68,7.68,7.68,,, Soups & Salads,-1,,General,,,[],"Romaine lettuce, oven roasted turkey, ham, cheddar cheese, egg, cucumber, tomato",,,,,,[],no,
nan,nan,Drip,,,,,Hot Coffee,1.92,1.92,1.92,1.92,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""6b44311cfc24d4897a9a7400"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""6b44311cfc24d4897a9a7401"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""6b44311cfc24d4897a9a7402"", ""title"": ""16 oz"", ""price"": 25, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""6b44311cfc24d4897a9a7403"", ""title"": ""20 oz"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""6b44311cfc24d4897a9a7401""}, ""preselect_default_value"": false}, {""_id"": ""9dd6dfbbfcb8c7ba0efd4400"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""9dd6dfbbfcb8c7ba0efd4401"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""9dd6dfbbfcb8c7ba0efd4402"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""9dd6dfbbfcb8c7ba0efd4403"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""9dd6dfbbfcb8c7ba0efd4404"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""9dd6dfbbfcb8c7ba0efd4405"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""9dd6dfbbfcb8c7ba0efd4401""}, ""preselect_default_value"": false}, {""_id"": ""dd84c1d56b3c1aba866cca00"", ""title"": ""Customize"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 2, ""disabled"": false, ""values"": [{""_id"": ""dd84c1d56b3c1aba866cca01"", ""title"": ""Decaf"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dd84c1d56b3c1aba866cca02"", ""title"": ""Make with Only 1 Espresso Shot"", ""price"": 0, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dd84c1d56b3c1aba866cca03"", ""title"": ""1 Extra Espresso Shot"", ""price"": 90, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dd84c1d56b3c1aba866cca04"", ""title"": ""2 Extra Espresso Shots"", ""price"": 180, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dd84c1d56b3c1aba866cca05"", ""title"": ""Add Whipped Cream"", ""price"": 0, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""dd84c1d56b3c1aba866cca01""}, ""preselect_default_value"": false}]",no,
nan,nan,Latte,,,,,Hot Coffee,3.3,3.3,3.3,3.3,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""2dac77fa82b9822c62590500"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""2dac77fa82b9822c62590501"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""2dac77fa82b9822c62590502"", ""title"": ""16 oz"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""2dac77fa82b9822c62590503"", ""title"": ""20 oz"", ""price"": 105, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""2dac77fa82b9822c62590501""}, ""preselect_default_value"": false}, {""_id"": ""dcec816e24558fc720de6b00"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""dcec816e24558fc720de6b01"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dcec816e24558fc720de6b02"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dcec816e24558fc720de6b03"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dcec816e24558fc720de6b04"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""dcec816e24558fc720de6b05"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""dcec816e24558fc720de6b01""}, ""preselect_default_value"": false}]",no,
nan,nan,Mocha,,,,,Hot Coffee,3.85,3.85,3.85,3.85,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""d30e6191d3f9eef05c882000"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""d30e6191d3f9eef05c882001"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""d30e6191d3f9eef05c882002"", ""title"": ""16 oz"", ""price"": 25, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""d30e6191d3f9eef05c882003"", ""title"": ""20 oz"", ""price"": 75, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""d30e6191d3f9eef05c882001""}, ""preselect_default_value"": false}, {""_id"": ""cf5add1b82808e297c078400"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""cf5add1b82808e297c078401"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""cf5add1b82808e297c078402"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""cf5add1b82808e297c078403"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""cf5add1b82808e297c078404"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""cf5add1b82808e297c078405"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""cf5add1b82808e297c078401""}, ""preselect_default_value"": false}]",no,
nan,nan,White Mocha,,,,,Hot Coffee,4.07,4.07,4.07,4.07,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""cd5d3e0ca371cb8550158400"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""cd5d3e0ca371cb8550158401"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""cd5d3e0ca371cb8550158402"", ""title"": ""16 oz"", ""price"": 55, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""cd5d3e0ca371cb8550158403"", ""title"": ""20 oz"", ""price"": 110, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""cd5d3e0ca371cb8550158401""}, ""preselect_default_value"": false}, {""_id"": ""43256f172c78c701f595f200"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""43256f172c78c701f595f201"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""43256f172c78c701f595f202"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""43256f172c78c701f595f203"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""43256f172c78c701f595f204"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""43256f172c78c701f595f205"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""43256f172c78c701f595f201""}, ""preselect_default_value"": false}]",no,
nan,nan,Caramel Macchiato,,,,,Hot Coffee,3.85,3.85,3.85,3.85,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""37680bea5e890222d8e5d400"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""37680bea5e890222d8e5d401"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""37680bea5e890222d8e5d402"", ""title"": ""16 oz"", ""price"": 30, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""37680bea5e890222d8e5d403"", ""title"": ""20 oz"", ""price"": 55, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""37680bea5e890222d8e5d401""}, ""preselect_default_value"": false}, {""_id"": ""bbc547fc6733755bad7c6100"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""bbc547fc6733755bad7c6101"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""bbc547fc6733755bad7c6102"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""bbc547fc6733755bad7c6103"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""bbc547fc6733755bad7c6104"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""bbc547fc6733755bad7c6105"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""bbc547fc6733755bad7c6101""}, ""preselect_default_value"": false}]",no,
nan,nan,Americano,,,,,Hot Coffee,2.47,2.47,2.47,2.47,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""7044b9d28bc21ba0ad31d900"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""7044b9d28bc21ba0ad31d901"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""7044b9d28bc21ba0ad31d902"", ""title"": ""16 oz"", ""price"": 40, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""7044b9d28bc21ba0ad31d903"", ""title"": ""20 oz"", ""price"": 80, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""7044b9d28bc21ba0ad31d901""}, ""preselect_default_value"": false}, {""_id"": ""a558f7db7e442617e57eca00"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""a558f7db7e442617e57eca01"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a558f7db7e442617e57eca02"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a558f7db7e442617e57eca03"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a558f7db7e442617e57eca04"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a558f7db7e442617e57eca05"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""a558f7db7e442617e57eca01""}, ""preselect_default_value"": false}]",no,
nan,nan,Hot Tea,,,,,Hot Coffee,2.4,2.4,2.4,2.4,,,Hot Coffee,-1,,General,,,[],nan,,,,,,"[{""_id"": ""42ebf06ceeb20603b21eaf00"", ""title"": ""Size"", ""description"": """", ""type"": 10, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""42ebf06ceeb20603b21eaf01"", ""title"": ""12 oz"", ""price"": 0, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""42ebf06ceeb20603b21eaf02"", ""title"": ""16 oz"", ""price"": 20, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}, {""_id"": ""42ebf06ceeb20603b21eaf03"", ""title"": ""20 oz"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 1}], ""price_increase_applicable"": false, ""max_selected_values"": 1, ""max_qty_sum"": null, ""default_value"": {""_id"": ""42ebf06ceeb20603b21eaf01""}, ""preselect_default_value"": false}, {""_id"": ""d59882f0a457974510fd2700"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 1, ""disabled"": false, ""values"": [{""_id"": ""d59882f0a457974510fd2701"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""d59882f0a457974510fd2702"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""d59882f0a457974510fd2703"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""d59882f0a457974510fd2704"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""d59882f0a457974510fd2705"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""d59882f0a457974510fd2701""}, ""preselect_default_value"": false}]",no,
nan,nan,Cold Brewed Iced Coffee,,,,,Cold Coffee,2.84,2.84,2.84,2.84,,,Cold Coffee,-1,,General,,,[],16 oz.,,,,,,"[{""_id"": ""ef98a969a6978b1749d38c00"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""ef98a969a6978b1749d38c01"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""ef98a969a6978b1749d38c02"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""ef98a969a6978b1749d38c03"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""ef98a969a6978b1749d38c04"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""ef98a969a6978b1749d38c05"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""ef98a969a6978b1749d38c01""}, ""preselect_default_value"": false}]",no,
nan,nan,Iced Latte,,,,,Cold Coffee,3.94,3.94,3.94,3.94,,,Cold Coffee,-1,,General,,,[],16 oz.,,,,,,"[{""_id"": ""72feb8959f1ebd210275d600"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""72feb8959f1ebd210275d601"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""72feb8959f1ebd210275d602"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""72feb8959f1ebd210275d603"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""72feb8959f1ebd210275d604"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""72feb8959f1ebd210275d605"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""72feb8959f1ebd210275d601""}, ""preselect_default_value"": false}]",no,
nan,nan,Iced Mocha,,,,,Cold Coffee,4.27,4.27,4.27,4.27,,,Cold Coffee,-1,,General,,,[],16 oz.,,,,,,"[{""_id"": ""a91bff27838435cbde33fc00"", ""title"": ""Add Syrup"", ""description"": """", ""type"": 30, ""image"": ""https://starship-vending.s3.eu-west-1.amazonaws.com/modifier-604a56aa6ea3c917d310041c-1625519978130.png"", ""sort_order"": 0, ""disabled"": false, ""values"": [{""_id"": ""a91bff27838435cbde33fc01"", ""title"": ""Vanilla"", ""price"": 50, ""sort_order"": 0, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a91bff27838435cbde33fc02"", ""title"": ""Sugar-Free Vanilla"", ""price"": 50, ""sort_order"": 1, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a91bff27838435cbde33fc03"", ""title"": ""Caramel"", ""price"": 50, ""sort_order"": 2, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a91bff27838435cbde33fc04"", ""title"": ""Sugar-Free Caramel"", ""price"": 50, ""sort_order"": 3, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}, {""_id"": ""a91bff27838435cbde33fc05"", ""title"": ""Hazelnut"", ""price"": 50, ""sort_order"": 4, ""price_increase_type"": null, ""price_increase_amount"": null, ""default_qty"": 1, ""max_qty"": 5}], ""price_increase_applicable"": false, ""max_selected_values"": 5, ""max_qty_sum"": null, ""default_value"": {""_id"": ""a91bff27838435cbde33fc01""}, ""preselect_default_value"": false}]",no,
